"","grade","male","raceeth","preschool","expectBachelors","motherHS","motherBachelors","motherWork","fatherHS","fatherBachelors","fatherWork","selfBornUS","motherBornUS","fatherBornUS","englishAtHome","computerForSchoolwork","read30MinsADay","minutesPerWeekEnglish","studentsInEnglish","schoolHasLibrary","publicSchool","urban","schoolSize","readingScore"
"1",10,0,"White",1,0,1,1,1,1,0,0,1,1,1,1,1,0,240,30,1,1,0,808,355.24
"2",10,1,"White",0,0,1,0,1,1,0,1,1,1,1,1,1,0,255,NA,1,1,0,808,385.57
"3",10,0,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,0,NA,30,1,1,0,808,522.62
"4",10,0,"White",1,0,1,1,1,1,0,0,1,1,1,1,1,0,160,30,NA,1,0,808,406.24
"5",10,0,"White",1,1,1,0,0,1,1,1,1,1,1,1,1,0,240,30,1,1,0,808,453.5
"6",10,0,"White",0,0,1,0,1,1,0,1,1,1,1,1,0,1,200,NA,1,1,0,808,437.78
"7",10,0,"American Indian/Alaska Native",1,0,1,0,0,1,0,0,1,1,1,1,1,1,240,30,1,1,0,808,405.13
"8",10,0,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,1,270,35,1,1,0,808,665.05
"9",11,0,"White",0,0,1,1,1,1,1,1,1,1,1,1,1,1,270,30,1,1,0,808,604.84
"10",10,1,"Hispanic",1,1,1,1,1,1,0,1,1,1,1,1,1,1,350,25,1,1,0,899,626.08
"11",10,0,"White",0,1,1,0,0,1,0,1,1,1,1,1,1,0,350,27,1,1,0,899,525.32
"12",10,0,"More than one race",NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,23,1,1,0,899,499.5
"13",10,1,"Hispanic",1,0,1,0,1,1,0,0,1,1,1,1,1,0,360,28,1,1,0,899,354.63
"14",10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,350,25,1,1,0,899,547.35
"15",10,0,"Hispanic",1,1,1,0,1,1,1,1,1,1,1,1,1,1,360,27,1,1,0,899,571.39
