"NID","temp","humidity","battery_level","UT","Longitude","Latitude","State"
4109,84.3,65.4,0.8,"2016-01-15 00:00:00",-74.97159,45.23353,"Fort drum"
4438,80.1,50.5,0.73,"2016-07-23 00:00:00",-74.95445,45.27624,"Fort drum"
4031,104.5,62.6,0.82,"2015-11-17 06:00:00",-75.02076,45.24581,"Fort drum"
4040,102.4,82.6,0.81,"2015-12-16 06:00:00",-115.52342,36.43653,"Hawthorne"
4397,73,72.3,0.85,"2015-08-24 18:00:00",-115.47015,36.35268,"Hawthorne"
4197,62,99.6,0.93,"2015-01-14 06:00:00",-97.4297,32.79111,"Fort Bliss"
3673,82.3,60.3,0.86,"2015-08-09 00:00:00",-99.96615,41.50205,"Camp Ashland"
3528,68,87.3,0.92,"2015-03-05 12:00:00",-97.47912,32.79395,"Fort Bliss"
4121,73.7,98.9,0.76,"2016-05-08 00:00:00",-100.03726,41.51464,"Camp Ashland"
4397,67.9,57.2,0.85,"2015-09-13 06:00:00",-115.47015,36.35268,"Hawthorne"
3715,94.4,100.9,0.85,"2015-09-26 00:00:00",-74.9937,45.22259,"Fort drum"
4397,90.5,107,0.8,"2016-01-14 18:00:00",-115.47015,36.35268,"Hawthorne"
4232,79.2,107,0.74,"2016-06-17 06:00:00",-100.01624,41.46461,"Camp Ashland"
3833,74.1,88.1,0.83,"2015-11-08 06:00:00",-81.46923,27.7058,"Hurlburt"
4446,58.9,88.9,0.94,"2015-01-02 12:00:00",-81.48899,27.66718,"Hurlburt"
4071,87.7,93.4,0.91,"2015-04-01 00:00:00",-81.54179,27.71191,"Hurlburt"
3897,100.7,107.4,0.88,"2015-06-01 00:00:00",-75.00357,45.27926,"Fort drum"
3700,56,95,0.77,"2016-04-16 12:00:00",-99.95644,41.48475,"Camp Ashland"
3998,99.3,61.1,0.7,"2015-10-12 00:00:00",-74.99192,45.23865,"Fort drum"
3604,106.1,66.4,0.94,"2015-01-06 12:00:00",-100.01375,41.46745,"Camp Ashland"
4351,91.8,95.4,0.73,"2016-07-23 12:00:00",-74.95286,45.26563,"Fort drum"
3528,86.7,78.5,0.8,"2016-01-25 12:00:00",-97.47912,32.79395,"Fort Bliss"
4222,55.9,100.2,0.9,"2015-04-14 18:00:00",-115.49695,36.37476,"Hawthorne"
4467,69.2,109.1,0.9,"2015-02-08 18:00:00",-99.99897,41.49113,"Camp Ashland"
3917,93.5,46.2,0.81,"2015-12-25 00:00:00",-74.99922,45.24809,"Fort drum"
3998,90,107.2,0.85,"2015-04-09 00:00:00",-74.99192,45.23865,"Fort drum"
3777,101.3,63.6,0.78,"2016-03-14 06:00:00",-75.03751,45.26606,"Fort drum"
3991,75.7,85.8,0.92,"2015-02-15 06:00:00",-75.00906,45.21474,"Fort drum"
